depot,destination_name,destination_lat,destination_lon,distance_km,duration_min
Gare de Lyon,À la mémoire des travailleurs et combattants chinois morts pour la France,48.8230708,2.3644452,5.07,10.57
Gare de Lyon,CIC,48.8685215,2.40182,6.31,13.3
Gare de Lyon,O'Sullivans Rebel Red,48.859187,2.3498444,3.7,10.13
Gare de Lyon,Le Relais de la Place,48.8366118,2.3066363,6.86,18.84
Gare de Lyon,Le In,48.844232,2.3297156,5.07,13.82
Gare de Lyon,Les Délices de Maeva,48.8367495,2.3930809,2.1,6.09
Gare de Lyon,Asian Exchange,48.8834227,2.3611408,6.48,17.9
Gare de Lyon,Pas Chiche,48.8914323,2.3196308,8.63,23.91
Gare de Lyon,Le Comptoir du Poulet,48.8489002,2.4000381,3.33,8.06
Gare de Lyon,École de guitare Musique Expérience,48.8632546,2.403053,5.42,13.0
Gare de Lyon,Jah Jah by Le Tricycle,48.8731478,2.3531601,5.33,15.12
Gare de Lyon,Radio Nova,48.9002966,2.3373078,8.29,22.73
Gare de Lyon,ESAT Marsoulan,48.8515208,2.4238067,4.96,11.31
Gare de Lyon,Comptoir Club,48.859493,2.3683061,2.63,7.37
Gare de Lyon,Saint François de Sales remet à Jeanne de Chantal les Constitutions de l'Ordre de la Visitation,48.8511476,2.3344126,4.43,11.91
Gare de Lyon,La Villa des livres,48.8876257,2.3271295,7.69,21.4
Gare de Lyon,Mardin Soupe,48.8704535,2.3528693,4.6,13.25
Gare de Lyon,Karaoke Club,48.8742989,2.3923968,5.8,16.2
Gare de Lyon,Le Timbaud,48.8658307,2.3705921,3.48,9.87
Gare de Lyon,Chharm Thai,48.8242503,2.3665651,5.04,10.81
Gare de Lyon,Socoa,48.825983,2.3606487,3.47,9.51
Gare de Lyon,Institut de Création et d'Animation Numériques,48.8462051,2.3855851,1.8,4.44
Gare de Lyon,Espace des fabriques,48.8670222,2.3752141,3.82,10.76
Gare de Lyon,Espace Hermès,48.8625603,2.3830701,3.27,9.4
Gare de Lyon,Épicerie Tempero,48.8318993,2.374271,2.32,6.44
Gare de Lyon,Banque Populaire,48.8390983,2.2821736,12.87,23.91
Gare de Lyon,Asia Fusion,48.8380869,2.2398177,15.14,25.93
Gare de Lyon,Rond-Point,48.8691072,2.3112157,7.02,17.87
Gare de Lyon,Claudine,48.8596188,2.3761769,2.9,8.39
Gare de Lyon,Hôtel Dalila,48.8965796,2.3436026,7.46,21.12
Gare de Lyon,"Vero, l'Autre Cantine",48.8585814,2.3766053,2.7,7.56
Gare de Lyon,Maison de la Mécanique,48.8917373,2.2516099,12.62,27.98
Gare de Lyon,Flash Burger,48.884558,2.304364,8.3,21.91
Gare de Lyon,Centre culturel Pouya,48.8699163,2.3669314,3.84,10.53
Gare de Lyon,Pizza Hut,48.8178334,2.3085666,9.79,17.34
Gare de Lyon,Café de Paris,48.8738245,2.2977247,8.17,20.54
Gare de Lyon,Faune au Chevreau,48.8637509,2.3277106,5.19,14.4
Gare de Lyon,Affichage Libre,48.8288594,2.2806247,11.86,21.13
Gare de Lyon,Comme chez Maman,48.8875927,2.3180689,8.22,22.94
Gare de Lyon,Ici a vécu le commandant Henry Lachouque,48.8880828,2.3394245,7.76,21.5
Gare de Lyon,Loco,48.8737307,2.3424946,5.38,14.96
Gare de Lyon,Bienfaisance - Place de Narvik,48.8766143,2.3131677,7.25,19.71
Gare de Lyon,Famille Dubois,48.8188832,2.4362448,6.7,12.02
Gare de Lyon,Le Polo,48.8510948,2.2675935,14.81,25.98
Gare de Lyon,Marie Trintignant,48.8611926,2.3949378,4.6,12.27
Gare de Lyon,Pharmacie Carrefour de Weiden,48.8226989,2.2678584,13.0,24.32
Gare de Lyon,Parking Monoprix,48.8803833,2.2398918,13.92,30.84
Gare de Lyon,Buste Winston Churchill,48.8250594,2.4046224,4.47,10.19
Gare de Lyon,Tricotin 1,48.8208523,2.3636767,3.78,10.38
Gare de Lyon,Pause Café,48.8534134,2.3767225,2.61,7.46
Gare de Lyon,Mosugo,48.8731251,2.3303363,6.06,16.83
Gare de Lyon,Maurice Ravel’s grave,48.9000811,2.2903997,10.31,24.76
Gare de Lyon,Roomies,48.8634333,2.3485862,4.54,12.3
Gare de Lyon,Tchin Tchin,48.8648212,2.2918204,8.31,21.05
Gare de Lyon,Fuuki,48.8312852,2.3735705,2.3,6.34
Gare de Lyon,Café Milou,48.8532868,2.3705392,1.91,5.49
Gare de Lyon,Bistrot Vivienne,48.8662803,2.3394262,5.04,14.01
Gare de Lyon,Boot Café,48.8611678,2.3653264,2.89,8.03
Gare de Lyon,Borei,48.8323687,2.3298773,4.89,13.31
Gare de Lyon,Berri - Haussmann,48.8747444,2.3082953,8.18,20.6
Gare de Lyon,Exe Panorama,48.8761971,2.3499922,5.22,14.69
Gare de Lyon,Crédit Agricole,48.8427291,2.3035007,7.04,19.13
Gare de Lyon,Cabinet vétérinaire Neko&Co,48.9013519,2.3092592,10.7,25.35
Gare de Lyon,Place de Fontenoy - Saxe,48.8502941,2.3069781,6.93,18.89
Gare de Lyon,Joli Marché,48.8910588,2.3475069,6.65,18.72
Gare de Lyon,O'Tacos,48.8846127,2.2782242,10.32,25.52
Gare de Lyon,Café Maraîcher,48.8368705,2.2981191,7.54,20.77
Gare de Lyon,Ristorantino Shardana,48.8456494,2.2963586,7.76,21.36
Gare de Lyon,KeepCool,48.8761189,2.3380306,6.09,17.13
Gare de Lyon,L'atelier des chefs,48.8768305,2.3374663,5.92,16.54
Gare de Lyon,Bien Bien,48.8726231,2.3440148,5.21,14.54
Gare de Lyon,Monlam Cafe,48.8864125,2.3455777,6.43,18.06
Gare de Lyon,Parking Étoile Wagram,48.8761767,2.297078,8.46,21.48
Gare de Lyon,Plan de circulation de la crypte,48.8460855,2.3466103,3.73,10.41
Gare de Lyon,Burger King,48.8752762,2.2958261,8.32,20.93
Gare de Lyon,Balagan,48.8654743,2.3297867,5.22,14.55
Gare de Lyon,El Tequila Mexicana,48.8886685,2.3319948,7.83,21.8
Gare de Lyon,NEMESIS Artisan Kebabier,48.8896729,2.3425736,6.75,18.95
Gare de Lyon,Halles - Bourdonnais,48.8605777,2.3460998,3.87,10.63
Gare de Lyon,Crédit Agricole,48.8936655,2.2881352,10.62,26.11
Gare de Lyon,Monsieur Henri,48.8634068,2.3624053,3.58,10.07
Gare de Lyon,Le Cœur du Liban,48.8723297,2.3631339,4.23,11.76
Gare de Lyon,La Goutte Rouge,48.8855875,2.3531342,6.19,17.24
Gare de Lyon,AUTO ECOLE UNIVERSELLE,48.838465,2.3928,1.87,5.23
Gare de Lyon,L'Amiral Chicken,48.8253534,2.3417072,4.31,11.83
Gare de Lyon,Hommage à F. Liszt,48.8778917,2.3511,5.77,16.22
Gare de Lyon,Sirène d'Or,48.8388101,2.3003085,7.45,20.42
Gare de Lyon,Pharmacie El Ghadouani,48.8879609,2.4620652,10.63,18.27
Gare de Lyon,Le Parvis - Beaubourg,48.8603594,2.3508027,4.95,13.34
Gare de Lyon,Jean-Pierre Sers,48.8463651,2.3458315,3.55,9.87
Gare de Lyon,Ricky la Bagarre,48.8903618,2.3454999,6.88,19.46
Gare de Lyon,La quéquetterie,48.8669318,2.3444702,4.93,13.7
Gare de Lyon,Lamarck,48.8422879,2.3566398,2.61,7.03
Gare de Lyon,École Maternelle Anatole France (salle polyvalente),48.8202726,2.2626015,13.5,25.54
Gare de Lyon,Teillebon,48.8800576,2.3317323,6.93,19.27
Gare de Lyon,Santévéto,48.8954629,2.4009207,9.92,18.72
Gare de Lyon,Café Père et Fils,48.866823,2.3444107,4.92,13.67
Gare de Lyon,Savannah Café,48.8459164,2.3492191,3.34,9.29
Gare de Lyon,Chez Daniel,48.8541419,2.3549031,3.09,8.91
Gare de Lyon,La Lucha Libre,48.849045,2.348555,3.45,9.38
Gare de Lyon,Paya Thaï Aligre,48.8497475,2.3788828,1.49,4.07
Gare de Lyon,CDI,48.8463242,2.267205,14.57,26.02
Gare de Lyon,Le Buisson ardent,48.8466889,2.3539888,3.04,8.29
Gare de Lyon,Pizza Nino,48.8910363,2.3765311,7.03,19.28
Gare de Lyon,Bob's Bagel Shop,48.8719672,2.3605797,4.37,12.25
Gare de Lyon,Salento Montmartre,48.8802811,2.3433711,5.82,16.21
Gare de Lyon,Mont Legrense,48.8792044,2.2401192,13.84,30.48
Gare de Lyon,Western Union,48.8671662,2.383904,4.06,11.41
Gare de Lyon,CIC,48.8555189,2.3253798,5.44,14.46
Gare de Lyon,Alfred Adam,48.8872853,2.3364856,7.37,20.49
Gare de Lyon,Let's Wok,48.8983556,2.3782547,10.77,19.85
Gare de Lyon,Le 5,48.8292739,2.2468401,14.89,26.12
Gare de Lyon,ÉCOLE MAIGRET,48.8470998,2.2839749,8.6,23.64
Gare de Lyon,Sushi Time's,48.8869137,2.2324331,14.02,30.14
Gare de Lyon,Juba Kebab,48.8445586,2.3185442,6.54,17.97
Gare de Lyon,Le Maung,48.8653811,2.3482748,4.58,12.8
Gare de Lyon,Hamac,48.8805463,2.3168842,7.9,21.05
Gare de Lyon,Crédit Agricole,48.8377256,2.3508646,3.22,8.93
Gare de Lyon,Claude Ambroise Régnier,48.8463712,2.3458044,3.55,9.87
Gare de Lyon,La Passerelle,48.8862329,2.3451599,6.45,18.13
Gare de Lyon,Chouette,48.8221641,2.4123857,5.15,11.3
Gare de Lyon,Bonvivant Pizza,48.8477639,2.35217,3.01,8.16
Gare de Lyon,Le Buci,48.8538386,2.338474,4.24,11.35
Gare de Lyon,New Hotel Republique,48.8661043,2.3685294,3.54,9.91
Gare de Lyon,BNP Paribas,48.8931384,2.2892052,10.25,25.2
Gare de Lyon,Avocette élégante,48.833656,2.41868,3.6,9.42
Gare de Lyon,Camille,48.8564012,2.2779632,10.11,25.28
Gare de Lyon,Anona,48.881984,2.318718,7.78,21.75
Gare de Lyon,LCL,48.8442742,2.3236759,5.5,15.38
Gare de Lyon,Grande Pharmacie Alésia,48.8277248,2.3271996,5.46,14.44
Gare de Lyon,Sushi Rome,48.8844479,2.3233681,8.17,22.65
Gare de Lyon,Rendez-vous des Routiers,48.8994162,2.3937397,11.16,20.09
Gare de Lyon,Bibliothèque,48.8239291,2.4591392,9.28,15.12
